2025-10-04 20:48:21,627 DEBUG    === Avvio applicazione: log ripulito ===
2025-10-04 20:48:21,630 DEBUG    === Avvio applicazione: log ripulito ===
2025-10-04 20:48:21,667 DEBUG    --> ENV QT_QPA_PLATFORMTHEME = qt5ct
2025-10-04 20:48:21,667 DEBUG    --> ENV GTK_THEME           = None
2025-10-04 20:48:21,667 DEBUG    --> QApp.style() name       = qt5ct-style
2025-10-04 20:48:21,675 DEBUG    [TMP] mode=ram • root=/dev/shm/hevc_gui • reason: OK: RAM total=31 GiB, avail=22 GiB, /dev/shm free=15 GiB, need≈1 GiB
2025-10-04 20:48:21,699 DEBUG    Icona per 'open' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_open.png'
2025-10-04 20:48:21,712 DEBUG    Icona per 'exit' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_exit.png'
2025-10-04 20:48:21,727 DEBUG    Icona per 'convert' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_convert.png'
2025-10-04 20:48:21,741 DEBUG    Icona per 'extract' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_extract.png'
2025-10-04 20:48:21,753 DEBUG    Icona per 'subs' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_subs.png'
2025-10-04 20:48:21,767 DEBUG    Icona per 'chapters' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_chapters.png'
2025-10-04 20:48:21,783 DEBUG    Icona per 'queue_run' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_queue_run.png'
2025-10-04 20:48:21,795 DEBUG    Icona per 'save' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_save.png'
2025-10-04 20:48:21,813 DEBUG    Icona per 'edit_queue' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_edit_queue.png'
2025-10-04 20:48:21,830 DEBUG    Icona per 'minfo' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_minfo.png'
2025-10-04 20:48:21,844 DEBUG    Icona per 'preview' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_preview.png'
2025-10-04 20:48:21,854 DEBUG    Icona per 'preview_filtered' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_preview_filtered.png'
2025-10-04 20:48:21,870 DEBUG    Icona per 'asp' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_asp.png'
2025-10-04 20:48:21,889 DEBUG    Icona per 'help' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_help.png'
2025-10-04 20:48:21,893 DEBUG    Icona per 'info' non trovata nel tema: uso fallback locale '/mnt/Storage/Hevc_gui/hevc_gui/gui/../resources/icons/ph_info.png'
2025-10-04 20:48:34,778 WARNING  [Qt] WARNING Qt AtSpiAdaptor: Accessible invalid:  QAccessibleInterface(0x56a9eb6b7790 invalid) "/org/a11y/atspi/accessible/2147483757"
2025-10-04 20:48:38,515 DEBUG    [UI] _ensure_preview_wiring: collegati 1 trigger Preview
2025-10-04 20:48:39,568 DEBUG    [DEBUG] Combo tracce:
2025-10-04 20:48:39,569 DEBUG      00: text='Seleziona traccia…' data=(-1, None, None)
2025-10-04 20:48:39,569 DEBUG      01: text='[S] Traccia 0 – 192k – ITA AC3 2.0 192 Kbps' data=(0, None, '192k')
2025-10-04 20:48:39,569 DEBUG      02: text='[S] Traccia 1 – ENG AAC 2.0 224 Kbps' data=(1, None, 'Nessuno')
2025-10-04 20:49:01,014 DEBUG    [DEBUG] Combo tracce:
2025-10-04 20:49:01,014 DEBUG      00: text='Seleziona traccia…' data=(-1, None, None)
2025-10-04 20:49:01,014 DEBUG      01: text='[S] Traccia 0 – 192k – ITA AC3 2.0 192 Kbps' data=(0, None, '192k')
2025-10-04 20:49:01,014 DEBUG      02: text='[S] Traccia 1 – ENG AAC 2.0 224 Kbps' data=(1, None, 'Nessuno')
2025-10-04 20:50:46,481 DEBUG    []
